Quarter,Since,Until,Commits,PRs,Issues,New PR Submitters,New Issue Submitters,New Commiters
Quarter 1,01 January 2018,31 March 2018,130,114,111,21,28,20
Quarter 2,01 April 2018,30 June 2018,115,120,128,9,7,10
Quarter 3,01 July 2018,30 September 2018,61,51,36,0,7,1
Quarter 4,01 October 2018,31 December 2018,58,63,29,3,3,2
Quarter 5,01 January 2019,31 March 2019,70,63,45,3,10,3
Quarter 6,01 April 2019,30 June 2019,0,0,0,0,0,0
Quarter 7,01 July 2019,30 September 2019,0,0,0,0,0,0
Quarter 8,01 October 2019,31 December 2019,0,0,0,0,0,0
